Epoch [59], Step [15/120], Patch [3/3], SIDD Loss: 0.0001106332492781803, DIV2K Loss: 0.00928037241101265
Epoch [59], Step [16/120], Patch [1/6], SIDD Loss: 0.00015066287596710026, DIV2K Loss: 0.0006034747930243611
Epoch [59], Step [16/120], Patch [2/6], SIDD Loss: 9.820979175856337e-05, DIV2K Loss: 0.0005483815330080688
Epoch [59], Step [16/120], Patch [3/6], SIDD Loss: 0.0001826932857511565, DIV2K Loss: 0.0004969124565832317
Epoch [59], Step [16/120], Patch [4/6], SIDD Loss: 0.00010168997687287629, DIV2K Loss: 0.0004142753896303475
Epoch [59], Step [16/120], Patch [5/6], SIDD Loss: 7.075673784129322e-05, DIV2K Loss: 0.0016638534143567085
Epoch [59], Step [16/120], Patch [6/6], SIDD Loss: 6.028664574841969e-05, DIV2K Loss: 0.0013173226034268737
Epoch [59], Step [17/120], Patch [1/6], SIDD Loss: 0.00010416505392640829, DIV2K Loss: 0.004174163099378347
Epoch [59], Step [17/120], Patch [2/6], SIDD Loss: 7.188451127149165e-05, DIV2K Loss: 0.005285268183797598
Epoch [59], Step [17/120], Patch [3/6], SIDD Loss: 8.872118633007631e-05, DIV2K Loss: 0.004408087581396103
Epoch [59], Step [17/120], Patch [4/6], SIDD Loss: 8.553346560802311e-05, DIV2K Loss: 0.008045466616749763
Epoch [59], Step [17/120], Patch [5/6], SIDD Loss: 8.30179124022834e-05, DIV2K Loss: 0.004642096348106861
Epoch [59], Step [17/120], Patch [6/6], SIDD Loss: 7.197988452389836e-05, DIV2K Loss: 0.005874887108802795
Epoch [59], Step [18/120], Patch [1/6], SIDD Loss: 0.0001054650274454616, DIV2K Loss: 0.0012598398607224226
Epoch [59], Step [18/120], Patch [2/6], SIDD Loss: 7.774186815368012e-05, DIV2K Loss: 0.004687642212957144
Epoch [59], Step [18/120], Patch [3/6], SIDD Loss: 0.00014175038086250424, DIV2K Loss: 0.00409625843167305
Epoch [59], Step [18/120], Patch [4/6], SIDD Loss: 6.655517790932208e-05, DIV2K Loss: 0.009389977902173996
Epoch [59], Step [18/120], Patch [5/6], SIDD Loss: 0.000256152095971629, DIV2K Loss: 0.019097361713647842
Epoch [59], Step [18/120], Patch [6/6], SIDD Loss: 8.084564615273848e-05, DIV2K Loss: 0.014910406433045864
Epoch [59], Step [19/120], Patch [1/6], SIDD Loss: 0.00010909435513895005, DIV2K Loss: 0.010280110873281956
Epoch [59], Step [19/120], Patch [2/6], SIDD Loss: 0.00012102971959393471, DIV2K Loss: 0.01004735566675663
Epoch [59], Step [19/120], Patch [3/6], SIDD Loss: 9.840575512498617e-05, DIV2K Loss: 0.00882204994559288
Epoch [59], Step [19/120], Patch [4/6], SIDD Loss: 0.0001441131462343037, DIV2K Loss: 0.0022266656160354614
Epoch [59], Step [19/120], Patch [5/6], SIDD Loss: 0.0001249929773621261, DIV2K Loss: 0.005539463367313147
Epoch [59], Step [19/120], Patch [6/6], SIDD Loss: 9.208638221025467e-05, DIV2K Loss: 0.007575898431241512
Epoch [59], Step [20/120], Patch [1/6], SIDD Loss: 4.297608393244445e-05, DIV2K Loss: 0.005439727567136288
Epoch [59], Step [20/120], Patch [2/6], SIDD Loss: 5.363095260690898e-05, DIV2K Loss: 0.007672746665775776
Epoch [59], Step [20/120], Patch [3/6], SIDD Loss: 4.096480552107096e-05, DIV2K Loss: 0.007170837372541428
Epoch [59], Step [20/120], Patch [4/6], SIDD Loss: 0.0002345874672755599, DIV2K Loss: 0.00550434086471796
Epoch [59], Step [20/120], Patch [5/6], SIDD Loss: 5.6345874327234924e-05, DIV2K Loss: 0.0037179412320256233
Epoch [59], Step [20/120], Patch [6/6], SIDD Loss: 4.263348819222301e-05, DIV2K Loss: 0.0031319018453359604
Epoch [59], SIDD Epoch Loss: 0.00011083709867105223, DIV2K Epoch Loss: 0.007096284274060355
Epoch [59], Step [21/120], Patch [1/6], SIDD Loss: 9.661121293902397e-05, DIV2K Loss: 0.012007737532258034
Epoch [59], Step [21/120], Patch [2/6], SIDD Loss: 7.847631786717102e-05, DIV2K Loss: 0.010057399980723858
Epoch [59], Step [21/120], Patch [3/6], SIDD Loss: 6.375767407007515e-05, DIV2K Loss: 0.008686568588018417
Epoch [59], Step [21/120], Patch [4/6], SIDD Loss: 9.270466398447752e-05, DIV2K Loss: 0.01096377894282341
Epoch [59], Step [21/120], Patch [5/6], SIDD Loss: 9.010961366584525e-05, DIV2K Loss: 0.00968136265873909
Epoch [59], Step [21/120], Patch [6/6], SIDD Loss: 6.922182365087792e-05, DIV2K Loss: 0.008748345077037811
Epoch [59], Step [22/120], Patch [1/6], SIDD Loss: 6.037092680344358e-05, DIV2K Loss: 0.006856092717498541
Epoch [59], Step [22/120], Patch [2/6], SIDD Loss: 0.00014503407874144614, DIV2K Loss: 0.006341359578073025
Epoch [59], Step [22/120], Patch [3/6], SIDD Loss: 4.2749230487970635e-05, DIV2K Loss: 0.006792369298636913
Epoch [59], Step [22/120], Patch [4/6], SIDD Loss: 4.526536213234067e-05, DIV2K Loss: 0.007003740407526493
Epoch [59], Step [22/120], Patch [5/6], SIDD Loss: 6.716686766594648e-05, DIV2K Loss: 0.007361636962741613
Epoch [59], Step [22/120], Patch [6/6], SIDD Loss: 5.6197615776909515e-05, DIV2K Loss: 0.008094513788819313
Epoch [59], Step [23/120], Patch [1/6], SIDD Loss: 0.0011259333696216345, DIV2K Loss: 0.001955578336492181
Epoch [59], Step [23/120], Patch [2/6], SIDD Loss: 0.0004185331054031849, DIV2K Loss: 0.002579469233751297
Epoch [59], Step [23/120], Patch [3/6], SIDD Loss: 0.0006051452946849167, DIV2K Loss: 0.001985493814572692
Epoch [59], Step [23/120], Patch [4/6], SIDD Loss: 0.00038600011612288654, DIV2K Loss: 0.004021613392978907
Epoch [59], Step [23/120], Patch [5/6], SIDD Loss: 0.0006369167822413146, DIV2K Loss: 0.012228615581989288
Epoch [59], Step [23/120], Patch [6/6], SIDD Loss: 0.00034601869992911816, DIV2K Loss: 0.012362014502286911
Epoch [59], Step [24/120], Patch [1/9], SIDD Loss: 7.81202907091938e-05, DIV2K Loss: 0.0007624320569448173
Epoch [59], Step [24/120], Patch [2/9], SIDD Loss: 0.00013409575331024826, DIV2K Loss: 0.0006521669565699995
Epoch [59], Step [24/120], Patch [3/9], SIDD Loss: 7.919605559436604e-05, DIV2K Loss: 0.0050590988248586655
Epoch [59], Step [24/120], Patch [4/9], SIDD Loss: 9.651732398197055e-05, DIV2K Loss: 0.0018985227216035128
Epoch [59], Step [24/120], Patch [5/9], SIDD Loss: 7.790607924107462e-05, DIV2K Loss: 0.002650740323588252
Epoch [59], Step [24/120], Patch [6/9], SIDD Loss: 9.331708861282095e-05, DIV2K Loss: 0.0027379083912819624
Epoch [59], Step [24/120], Patch [7/9], SIDD Loss: 8.878143125912175e-05, DIV2K Loss: 0.0036726759281009436
Epoch [59], Step [24/120], Patch [8/9], SIDD Loss: 0.0001230156049132347, DIV2K Loss: 0.0029962367843836546
Epoch [59], Step [24/120], Patch [9/9], SIDD Loss: 0.00011924549471586943, DIV2K Loss: 0.004243718925863504
Epoch [59], Step [25/120], Patch [1/6], SIDD Loss: 5.738311665481888e-05, DIV2K Loss: 0.0010228118626400828
Epoch [59], Step [25/120], Patch [2/6], SIDD Loss: 5.044606950832531e-05, DIV2K Loss: 0.002410280518233776
Epoch [59], Step [25/120], Patch [3/6], SIDD Loss: 5.6643075367901474e-05, DIV2K Loss: 0.009655778296291828
Epoch [59], Step [25/120], Patch [4/6], SIDD Loss: 3.73664588551037e-05, DIV2K Loss: 0.004916498437523842
Epoch [59], Step [25/120], Patch [5/6], SIDD Loss: 8.498190436512232e-05, DIV2K Loss: 0.004736560396850109
Epoch [59], Step [25/120], Patch [6/6], SIDD Loss: 4.3348823965061456e-05, DIV2K Loss: 0.008298981003463268
Epoch [59], Step [26/120], Patch [1/6], SIDD Loss: 4.3574924347922206e-05, DIV2K Loss: 0.0015296124620363116
Epoch [59], Step [26/120], Patch [2/6], SIDD Loss: 4.737183917313814e-05, DIV2K Loss: 0.0014197019627317786
Epoch [59], Step [26/120], Patch [3/6], SIDD Loss: 4.524539326666854e-05, DIV2K Loss: 0.00238319905474782
Epoch [59], Step [26/120], Patch [4/6], SIDD Loss: 2.9452470698743127e-05, DIV2K Loss: 0.0022600225638598204
Epoch [59], Step [26/120], Patch [5/6], SIDD Loss: 4.124371844227426e-05, DIV2K Loss: 0.00199831067584455
Epoch [59], Step [26/120], Patch [6/6], SIDD Loss: 3.5482771636452526e-05, DIV2K Loss: 0.001991553697735071
Epoch [59], Step [27/120], Patch [1/6], SIDD Loss: 0.00016974416212178767, DIV2K Loss: 0.0005599341820925474
Epoch [59], Step [27/120], Patch [2/6], SIDD Loss: 0.0001494207390351221, DIV2K Loss: 0.0006377487443387508
Epoch [59], Step [27/120], Patch [3/6], SIDD Loss: 0.00013528767158277333, DIV2K Loss: 0.000891796953510493
Epoch [59], Step [27/120], Patch [4/6], SIDD Loss: 0.0001188934184028767, DIV2K Loss: 0.0018759972881525755
Epoch [59], Step [27/120], Patch [5/6], SIDD Loss: 0.00026645202888175845, DIV2K Loss: 0.0020311158150434494
Epoch [59], Step [27/120], Patch [6/6], SIDD Loss: 0.00016304831660818309, DIV2K Loss: 0.0023319111205637455
